Product,category_name,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,Material_Cost_INR
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,115.79,253.77,95,1.2785985912830928,93.08,12688.5
Recycled Plastic IV Fluid Connector,Healthcare,Recycled Plastic,772.71,431.85,12,8.546630423540416,23.82,21592.5
Composite Exterior Cladding Panel,Construction,Composite,340.58,536.66,83,6.768650221931937,32.0,26833.0
Recycled Metal Engineered Application Unit,Textiles,Recycled Metal,806.08,392.26,11,9.924447959246592,84.71,19613.0
Recycled Plastic Medical Dose Dispenser,Healthcare,Recycled Plastic,320.06,957.02,94,6.202953486622671,57.34,47851.0
Plant-Based Sterile Injection Syringe,Healthcare,Plant-Based,569.02,451.2,98,3.8645155098696082,55.37,22560.0
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,192.24,946.46,15,1.954928998106578,9.12,47323.0
Bioplastic Motor Support Frame,Home Appliances,Bioplastic,445.48,62.27,94,4.58698938122453,73.7,3113.5
Natural Fiber Exterior Cladding Panel,Construction,Natural Fiber,491.78,707.3,75,3.593367570680446,83.7,35365.0
Composite Engineered Application Unit,Electronics,Composite,780.31,839.29,45,8.823128369373569,7.28,41964.5
Biopolymer Internal Support Chassis,Home Appliances,Biopolymer,739.85,707.71,4,5.406547010373576,23.32,35385.5
Biopolymer Engineered Application Unit,Furniture,Biopolymer,523.59,863.82,85,4.677174055412916,94.72,43191.0
Agro-Waste Fiber Load-Bearing Partition Board,Construction,Agro-Waste Fiber,887.41,754.61,69,5.289261054435978,48.17,37730.5
Composite Thermal Insulation Slab,Construction,Composite,340.81,706.56,73,6.705072691328493,11.12,35328.0
Natural Fiber Engineered Application Unit,Toys,Natural Fiber,443.87,16.3,91,3.3724325733249705,74.1,815.0
Biopolymer Rear Casing Structure,Home Appliances,Biopolymer,690.71,823.68,38,5.170475851589917,58.34,41184.0
Agro-Waste Fiber Dual-Layer Cosmetic Tube,Cosmetics,Agro-Waste Fiber,865.99,378.0,24,5.045820935446928,22.36,18900.0
Plant-Based Engineered Application Unit,Automotive,Plant-Based,866.94,17.09,31,5.266157096694647,32.27,854.5
Bioplastic Engineered Application Unit,Electronics,Bioplastic,40.02,925.02,100,2.5396445461556763,69.54,46251.0
Biopolymer Engineered Application Unit,Electronics,Biopolymer,68.82,170.38,48,2.3118428576667984,45.45,8519.0
Recycled Metal Engineered Application Unit,Furniture,Recycled Metal,565.17,586.39,15,8.906660171362907,91.53,29319.5
Recycled Plastic Engineered Application Unit,Toys,Recycled Plastic,862.87,62.57,75,9.191587180242108,33.57,3128.5
Plant-Based Engineered Application Unit,Electronics,Plant-Based,153.54,648.61,7,1.8026155625663678,58.37,32430.5
Natural Fiber Structural Wall Panel,Construction,Natural Fiber,70.88,974.52,63,1.6059100781445528,3.23,48726.0
Agro-Waste Fiber Surgical Instrument Tray,Healthcare,Agro-Waste Fiber,252.51,414.15,76,2.0476608168467663,16.26,20707.5
Composite Engineered Application Unit,Furniture,Composite,819.92,823.42,81,8.71584575694019,58.12,41171.0
Plant-Based Exterior Cladding Panel,Construction,Plant-Based,827.34,87.33,29,5.131397224910157,4.52,4366.5
Recycled Metal Reinforced Roofing Sheet,Construction,Recycled Metal,24.7,379.58,64,6.1355460419882055,98.53,18979.0
Recycled Metal Eco Cutlery Set,Food Packaging,Recycled Metal,339.69,750.83,88,8.191098422497058,84.21,37541.5
Agro-Waste Fiber Appliance Housing Panel,Home Appliances,Agro-Waste Fiber,754.66,471.35,98,4.534827807043775,1.37,23567.5
Agro-Waste Fiber Load-Bearing Partition Board,Construction,Agro-Waste Fiber,68.75,693.26,68,1.2040594684667225,99.66,34663.0
Bio-Composite Engineered Application Unit,Toys,Bio-Composite,500.33,770.14,36,5.494707646058951,37.79,38507.0
Bio-Composite Engineered Application Unit,Toys,Bio-Composite,217.74,209.02,0,3.8549643924760937,60.62,10451.0
Biopolymer Fresh Produce Crate,Food Packaging,Biopolymer,206.55,673.34,31,3.2613145629030043,26.87,33667.0
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,20.94,500.67,53,1.755086606537355,52.02,25033.5
Recycled Plastic Engineered Application Unit,Automotive,Recycled Plastic,767.11,554.15,4,8.49375638940861,79.18,27707.5
Bio-Composite Load-Bearing Partition Board,Construction,Bio-Composite,531.37,482.65,22,5.474972509041052,62.03,24132.5
Agro-Waste Fiber Engineered Application Unit,Electronics,Agro-Waste Fiber,633.97,216.9,37,4.25040886218722,98.05,10845.0
Recycled Metal Toothpaste Laminate Tube,Cosmetics,Recycled Metal,547.67,638.46,78,8.457979787441545,90.42,31923.0
Bio-Composite Specimen Collection Container,Healthcare,Bio-Composite,314.08,516.42,87,4.687771418760054,29.8,25821.0
Recycled Fiber Dual-Layer Cosmetic Tube,Cosmetics,Recycled Fiber,471.72,699.15,28,4.2966911251619955,92.66,34957.5
Bioplastic Engineered Application Unit,Textiles,Bioplastic,443.41,261.95,87,4.518942734973863,62.08,13097.5
Recycled Plastic Load-Bearing Partition Board,Construction,Recycled Plastic,313.32,213.09,42,5.953340454079446,7.59,10654.5
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,116.86,132.41,94,1.4042302730175282,69.77,6620.5
Recycled Metal Engineered Application Unit,Furniture,Recycled Metal,162.88,698.02,24,6.71370486917676,47.4,34901.0
Composite Printed Ointment Tube,Cosmetics,Composite,601.13,176.46,50,7.695517313786773,16.89,8823.0
Plant-Based Engineered Application Unit,Textiles,Plant-Based,251.45,181.13,20,2.2709625949612056,53.44,9056.5
Recycled Plastic Compostable Meal Tray,Food Packaging,Recycled Plastic,321.04,894.75,48,5.892739257254779,69.04,44737.5
Recycled Plastic Engineered Application Unit,Automotive,Recycled Plastic,36.34,800.41,85,4.776418486127037,87.36,40020.5
Bioplastic Motor Support Frame,Home Appliances,Bioplastic,828.86,65.77,25,6.46041515315324,8.45,3288.5
Recycled Metal Acoustic Dampening Board,Home Appliances,Recycled Metal,537.95,986.33,46,8.999736881003509,48.45,49316.5
Plant-Based Engineered Application Unit,Furniture,Plant-Based,556.81,372.07,87,3.6273993415327523,6.23,18603.5
Recycled Metal Modular Decking Board,Construction,Recycled Metal,133.82,137.45,2,6.604687696758865,51.17,6872.5
Natural Fiber Compostable Meal Tray,Food Packaging,Natural Fiber,479.37,111.64,37,3.759553443473934,24.25,5582.0
Bio-Composite Engineered Application Unit,Furniture,Bio-Composite,243.05,380.4,73,3.969077136713209,84.07,19020.0
Bioplastic Engineered Application Unit,Automotive,Bioplastic,81.19,537.66,24,2.9514419869208255,59.36,26883.0
Bio-Composite Disposable Serving Bowl,Food Packaging,Bio-Composite,611.51,790.23,17,6.318978550856485,53.71,39511.5
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,528.57,746.71,82,3.821353353087755,33.74,37335.5
Bioplastic Engineered Application Unit,Electronics,Bioplastic,809.78,609.52,58,6.5858267717064605,98.65,30476.0
Agro-Waste Fiber Engineered Application Unit,Electronics,Agro-Waste Fiber,545.59,241.04,21,3.579926558849685,36.54,12052.0
Bioplastic Food Storage Container,Food Packaging,Bioplastic,439.54,851.56,61,4.854064574355462,17.34,42578.0
Natural Fiber High-Gloss Skincare Tube,Cosmetics,Natural Fiber,807.19,84.83,30,4.988559857824384,98.24,4241.5
Recycled Metal Toothpaste Laminate Tube,Cosmetics,Recycled Metal,101.72,400.87,91,6.244508677383145,0.53,20043.5
Biopolymer Engineered Application Unit,Automotive,Biopolymer,877.59,493.3,50,6.49233831312338,71.85,24665.0
Composite Engineered Application Unit,Furniture,Composite,482.0,479.24,44,7.469396934646637,18.7,23962.0
Natural Fiber Engineered Application Unit,Toys,Natural Fiber,291.99,428.31,96,2.7100485700691754,52.98,21415.5
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,636.8,768.94,37,4.753289641899395,15.44,38447.0
Natural Fiber Engineered Application Unit,Textiles,Natural Fiber,433.54,534.93,32,3.231695055684302,45.43,26746.5
Composite Engineered Application Unit,Electronics,Composite,494.19,551.18,1,7.517400739432201,80.99,27559.0
Recycled Plastic Engineered Application Unit,Textiles,Recycled Plastic,229.92,683.1,16,5.708214494659736,47.32,34155.0
Natural Fiber Medical Dose Dispenser,Healthcare,Natural Fiber,545.89,795.32,94,3.7865797163947263,83.06,39766.0
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,868.56,128.68,74,7.715954902228951,18.12,6434.0
Recycled Fiber Thermal Insulation Insert,Home Appliances,Recycled Fiber,60.78,742.42,21,1.8986665841823576,78.15,37121.0
Agro-Waste Fiber Takeaway Clamshell Box,Food Packaging,Agro-Waste Fiber,745.32,751.75,59,4.28833930055947,16.43,37587.5
Recycled Metal Exterior Cladding Panel,Construction,Recycled Metal,733.3,666.87,25,9.797810721726766,31.62,33343.5
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,529.89,684.57,71,6.9545136659545355,37.69,34228.5
Composite Medical Dose Dispenser,Healthcare,Composite,416.95,304.87,22,7.24216692074849,57.75,15243.5
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,320.47,394.52,65,3.3340691158014812,90.65,19726.0
Agro-Waste Fiber Laminated Lotion Tube,Cosmetics,Agro-Waste Fiber,562.19,121.31,5,3.4468135363296586,73.05,6065.5
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,624.65,170.9,28,9.315925225848865,74.15,8545.0
Recycled Plastic Exterior Cladding Panel,Construction,Recycled Plastic,516.26,997.7,56,7.1638561853873,24.85,49885.0
Bioplastic Specimen Collection Container,Healthcare,Bioplastic,669.81,38.36,85,6.013462031998898,49.4,1918.0
Recycled Fiber Dual-Layer Cosmetic Tube,Cosmetics,Recycled Fiber,679.42,107.4,12,5.276458596530789,84.65,5370.0
Recycled Plastic Engineered Application Unit,Automotive,Recycled Plastic,115.61,400.3,28,5.028972376799426,48.64,20015.0
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,368.65,773.02,26,2.8925027671285015,69.39,38651.0
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,488.91,255.54,68,8.266647114074894,95.91,12777.0
Recycled Plastic Disposable Serving Bowl,Food Packaging,Recycled Plastic,308.93,231.21,22,5.8814879430069125,94.73,11560.5
Bioplastic Engineered Application Unit,Electronics,Bioplastic,138.86,588.3,61,3.178879658117179,25.6,29415.0
Natural Fiber Engineered Application Unit,Electronics,Natural Fiber,653.76,595.0,99,4.537030394963328,79.01,29750.0
Recycled Fiber Engineered Application Unit,Automotive,Recycled Fiber,21.7,653.11,91,1.663838159866004,6.89,32655.5
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,70.51,108.73,40,5.017986649807205,45.08,5436.5
Recycled Plastic IV Fluid Connector,Healthcare,Recycled Plastic,102.8,984.92,35,5.016600378375582,92.08,49246.0
Bio-Composite Engineered Application Unit,Textiles,Bio-Composite,783.04,521.24,39,7.205906815431463,37.93,26062.0
Bioplastic Engineered Application Unit,Furniture,Bioplastic,670.08,209.55,56,5.797468633352409,33.35,10477.5
Bioplastic Medical Dose Dispenser,Healthcare,Bioplastic,358.95,539.71,74,4.838783833317924,46.57,26985.5
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,433.27,918.86,42,8.291483469553,91.27,45943.0
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,224.16,579.74,51,2.4493684887167433,91.48,28987.0
Plant-Based Engineered Application Unit,Automotive,Plant-Based,326.79,582.69,21,2.419771500387778,21.27,29134.5
Biopolymer Diagnostic Cartridge,Healthcare,Biopolymer,464.14,975.66,48,4.417194483048638,86.06,48783.0
Plant-Based Fresh Produce Crate,Food Packaging,Plant-Based,482.03,188.54,70,3.3654574429348294,6.71,9427.0
Bio-Composite Engineered Application Unit,Furniture,Bio-Composite,675.21,213.86,82,6.518850098818419,46.82,10693.0
Agro-Waste Fiber Structural Wall Panel,Construction,Agro-Waste Fiber,562.85,380.84,15,3.7088975249147094,6.57,19042.0
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,698.2,456.02,65,4.676434217468625,48.11,22801.0
Recycled Plastic Thermal Insulation Slab,Construction,Recycled Plastic,447.81,766.53,3,6.56969125638632,86.18,38326.5
Composite Engineered Application Unit,Toys,Composite,851.56,376.44,73,8.954830555062827,52.66,18822.0
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,720.87,979.04,31,6.5150470095865955,65.89,48952.0
Plant-Based Engineered Application Unit,Electronics,Plant-Based,25.36,225.86,87,1.2980797588646946,50.55,11293.0
Plant-Based Engineered Application Unit,Textiles,Plant-Based,535.95,342.57,100,3.722568748826041,65.27,17128.5
Recycled Fiber Engineered Application Unit,Electronics,Recycled Fiber,215.13,103.94,95,2.326502244257602,60.32,5197.0
Recycled Fiber High-Gloss Skincare Tube,Cosmetics,Recycled Fiber,726.36,962.84,36,5.1664361851702365,40.64,48142.0
Agro-Waste Fiber Toothpaste Laminate Tube,Cosmetics,Agro-Waste Fiber,292.27,91.49,73,2.3384134759457678,20.79,4574.5
Biopolymer Printed Ointment Tube,Cosmetics,Biopolymer,24.85,185.53,35,1.9474785127597734,70.39,9276.5
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,819.65,626.64,10,5.3289950211891055,37.97,31332.0
Biopolymer Appliance Housing Panel,Home Appliances,Biopolymer,531.68,271.72,4,4.6700417436892,77.38,13586.0
Recycled Plastic Surgical Instrument Tray,Healthcare,Recycled Plastic,327.12,861.76,98,5.9070059404338755,76.36,43088.0
Biopolymer Engineered Application Unit,Toys,Biopolymer,126.96,869.13,58,2.706357472069657,79.99,43456.5
Recycled Fiber Engineered Application Unit,Automotive,Recycled Fiber,383.27,27.36,13,3.528506905273647,69.88,1368.0
Bioplastic Printed Ointment Tube,Cosmetics,Bioplastic,362.89,221.93,21,4.531060248635056,98.44,11096.5
Biopolymer Eco Cutlery Set,Food Packaging,Biopolymer,473.6,175.82,86,4.578760410406981,82.26,8791.0
Biopolymer Engineered Application Unit,Automotive,Biopolymer,477.17,815.98,40,4.1103161264085815,55.42,40799.0
Plant-Based Laminated Lotion Tube,Cosmetics,Plant-Based,586.63,830.59,86,3.7455849920169753,14.0,41529.5
Bio-Composite IV Fluid Connector,Healthcare,Bio-Composite,238.05,270.17,90,4.293257053441732,60.05,13508.5
Agro-Waste Fiber Disposable Serving Bowl,Food Packaging,Agro-Waste Fiber,598.87,179.49,44,3.8971071901824423,40.44,8974.5
Natural Fiber Fresh Produce Crate,Food Packaging,Natural Fiber,694.05,424.93,1,4.77325953726121,73.8,21246.5
Composite Modular Decking Board,Construction,Composite,75.44,605.14,25,6.1477462981309445,83.71,30257.0
Recycled Fiber Sterile Injection Syringe,Healthcare,Recycled Fiber,394.04,915.94,58,3.5843781021386336,56.64,45797.0
Agro-Waste Fiber Laminated Lotion Tube,Cosmetics,Agro-Waste Fiber,428.97,665.35,21,3.1719631280361202,21.49,33267.5
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,29.03,265.95,98,3.3359503526986405,84.64,13297.5
Composite Diagnostic Cartridge,Healthcare,Composite,859.76,158.9,72,9.42907825026116,10.66,7945.0
Recycled Plastic Engineered Application Unit,Textiles,Recycled Plastic,68.55,729.55,88,4.7796961510719305,59.83,36477.5
Recycled Fiber Engineered Application Unit,Furniture,Recycled Fiber,414.25,80.55,100,3.7230438440986537,96.77,4027.5
Biopolymer Appliance Housing Panel,Home Appliances,Biopolymer,5.72,107.58,100,1.8740349570924857,91.73,5379.0
Agro-Waste Fiber Surgical Instrument Tray,Healthcare,Agro-Waste Fiber,124.0,950.49,54,1.372636278651998,8.67,47524.5
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,862.4,759.6,94,5.014927290434179,65.88,37980.0
Natural Fiber Disposable Serving Bowl,Food Packaging,Natural Fiber,623.36,849.95,24,4.333174827877264,64.67,42497.5
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,624.16,56.34,25,4.783731713334702,70.56,2817.0
Recycled Plastic Eco Cutlery Set,Food Packaging,Recycled Plastic,832.8,184.67,84,8.29054696148165,31.29,9233.5
Recycled Metal Engineered Application Unit,Textiles,Recycled Metal,109.35,732.37,47,6.684002038074903,42.18,36618.5
Bioplastic Laminated Lotion Tube,Cosmetics,Bioplastic,716.01,746.34,38,5.75750682576207,52.24,37317.0
Recycled Fiber Engineered Application Unit,Electronics,Recycled Fiber,580.45,651.92,23,4.3078636268421135,12.06,32596.0
Recycled Fiber Acoustic Dampening Board,Home Appliances,Recycled Fiber,70.18,697.81,39,2.068690119393473,40.45,34890.5
Biopolymer Engineered Application Unit,Automotive,Biopolymer,515.61,804.96,3,4.590906003819093,31.88,40248.0
Recycled Fiber Engineered Application Unit,Furniture,Recycled Fiber,563.68,886.55,41,4.102851044414139,41.75,44327.5
Bio-Composite Engineered Application Unit,Toys,Bio-Composite,416.29,990.39,12,4.938389258148007,93.91,49519.5
Composite Surgical Instrument Tray,Healthcare,Composite,719.11,997.94,28,8.731469549786935,40.19,49897.0
Recycled Plastic Takeaway Clamshell Box,Food Packaging,Recycled Plastic,432.41,629.37,55,6.515976673656573,39.83,31468.5
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,83.44,339.69,83,3.4604917179163954,23.88,16984.5
Recycled Metal Rear Casing Structure,Home Appliances,Recycled Metal,100.32,357.85,29,6.510714367980762,71.56,17892.5
Biopolymer Engineered Application Unit,Electronics,Biopolymer,530.61,280.88,52,4.522729930478837,42.78,14044.0
Recycled Plastic Structural Wall Panel,Construction,Recycled Plastic,346.51,681.25,11,6.661338817865065,79.8,34062.5
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,233.83,590.61,38,2.795933804463602,94.47,29530.5
