Product,category_name,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,Material_Cost_INR
Natural Fiber IV Fluid Connector,Healthcare,Natural Fiber,251.5,908.72,18,2.454800555052413,53.09,54682.92541628931
Natural Fiber Acoustic Dampening Board,Home Appliances,Natural Fiber,403.56,555.13,67,3.0062578142088205,36.97,33484.92336065662
Agro-Waste Fiber Specimen Collection Container,Healthcare,Agro-Waste Fiber,218.7,804.12,68,2.058008982420638,63.35,40574.731736815476
Composite Medical Dose Dispenser,Healthcare,Composite,482.66,94.84,96,7.169131270005795,50.82,6889.003452504347
Recycled Plastic Compostable Meal Tray,Food Packaging,Recycled Plastic,626.54,859.07,58,7.674472719000951,71.11,34823.39953925071
Composite Laminated Lotion Tube,Cosmetics,Composite,728.74,351.92,70,8.251765975224044,69.09,24844.819481418035
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,348.68,937.05,0,5.977762790220314,73.52,37457.11209266523
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,188.96,543.74,41,2.1841722471738247,66.0,32830.40918538038
Recycled Metal Specimen Collection Container,Healthcare,Recycled Metal,735.68,557.42,59,9.82609331599908,99.63,45190.2099869993
Agro-Waste Fiber Medical Dose Dispenser,Healthcare,Agro-Waste Fiber,868.91,560.5,31,5.178823656237994,33.9,28547.160242178496
Composite Engineered Application Unit,Toys,Composite,314.94,727.33,2,6.551570343522352,40.45,51057.22275764177
Composite Food Storage Container,Food Packaging,Composite,799.11,851.67,71,8.935329260882142,66.9,60113.2894456616
Recycled Fiber Motor Support Frame,Home Appliances,Recycled Fiber,523.04,375.42,88,3.8194956019265134,0.51,17109.64170144489
Natural Fiber Diagnostic Cartridge,Healthcare,Natural Fiber,145.57,550.99,53,1.783881158321058,99.45,33130.2083687408
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,159.16,22.98,13,6.703672245808042,74.65,1874.884184356032
Plant-Based Eco Cutlery Set,Food Packaging,Plant-Based,585.02,849.98,16,4.136524445243783,54.25,76981.27833393283
Recycled Metal Sterile Injection Syringe,Healthcare,Recycled Metal,458.42,638.15,21,8.360823657913691,97.3,51374.75274343527
Natural Fiber Engineered Application Unit,Electronics,Natural Fiber,354.39,892.59,26,2.619341968927453,35.01,53520.13897669559
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,580.95,670.58,96,5.969566793878959,72.25,87706.48759540923
Recycled Plastic Exterior Cladding Panel,Construction,Recycled Plastic,253.41,29.19,48,5.690033543916737,99.46,1332.5426579375526
Bioplastic Specimen Collection Container,Healthcare,Bioplastic,423.48,283.16,5,4.4820155999388085,1.55,34099.401699954105
Agro-Waste Fiber Medical Dose Dispenser,Healthcare,Agro-Waste Fiber,835.56,431.04,52,5.100135257768173,98.03,22165.53144332613
Bioplastic Compostable Meal Tray,Food Packaging,Bioplastic,68.74,309.17,31,3.04989990449919,31.69,37351.419928374395
Plant-Based Load-Bearing Partition Board,Construction,Plant-Based,153.37,559.02,94,1.95310602382324,93.0,50716.17701786742
Recycled Plastic Engineered Application Unit,Toys,Recycled Plastic,64.3,212.87,46,4.653656495355473,14.01,8513.067371516603
Recycled Plastic Engineered Application Unit,Textiles,Recycled Plastic,466.98,877.99,16,6.773057524829757,13.66,35338.708143622316
Biopolymer Rear Casing Structure,Home Appliances,Biopolymer,638.31,555.06,41,5.257802686280712,81.01,83709.84451471052
Composite Engineered Application Unit,Automotive,Composite,780.5,913.67,6,9.097609025424472,79.83,64505.48176906835
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,585.32,703.46,15,7.330765152430943,88.66,28389.183864323208
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,25.83,580.97,31,3.092018204667237,3.59,75573.16615350042
Recycled Metal IV Fluid Connector,Healthcare,Recycled Metal,419.57,544.93,21,7.876583005198795,3.05,43680.234753899094
Plant-Based Diagnostic Cartridge,Healthcare,Plant-Based,34.58,823.49,53,0.933658675183866,32.67,74057.9590063879
Recycled Fiber Reinforced Roofing Sheet,Construction,Recycled Fiber,745.25,275.19,4,5.38875516447884,84.2,12886.05387335913
Bioplastic Eco Cutlery Set,Food Packaging,Bioplastic,175.75,414.3,98,3.6499980057141648,72.61,50203.31100428562
Recycled Metal Compostable Meal Tray,Food Packaging,Recycled Metal,878.29,518.72,29,10.377047975683931,39.88,41983.94348176295
Agro-Waste Fiber Surgical Instrument Tray,Healthcare,Agro-Waste Fiber,390.74,745.32,89,2.954406579578405,96.26,37789.8999346838
Biopolymer Thermal Insulation Slab,Construction,Biopolymer,752.55,697.49,0,5.835077205009528,15.64,105054.02040375714
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,225.97,551.48,47,4.000826049078976,93.46,71802.61703680924
Bio-Composite Specimen Collection Container,Healthcare,Bio-Composite,574.81,519.11,63,5.946329121101683,61.17,67951.91434082626
Recycled Metal Internal Support Chassis,Home Appliances,Recycled Metal,378.22,251.49,15,8.198707313293193,12.02,20569.015484969896
Plant-Based Compostable Meal Tray,Food Packaging,Plant-Based,308.35,96.34,46,2.53458479217801,85.55,8911.401094133507
Composite Engineered Application Unit,Furniture,Composite,633.59,476.8,89,8.480878731162802,80.69,34105.4915483721
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,312.33,467.35,100,4.037700979182051,61.59,60718.703234386536
Agro-Waste Fiber Diagnostic Cartridge,Healthcare,Agro-Waste Fiber,571.95,50.08,94,3.8241305008750457,93.34,3101.2603756562835
Recycled Fiber Printed Ointment Tube,Cosmetics,Recycled Fiber,451.43,541.68,3,3.7745594136476335,94.39,24620.372060235724
Biopolymer Dual-Layer Cosmetic Tube,Cosmetics,Biopolymer,849.88,867.86,31,6.189598529906826,57.55,130621.08889743012
Composite Engineered Application Unit,Toys,Composite,349.96,645.07,32,6.768152155307101,82.06,45407.64411648033
Composite Food Storage Container,Food Packaging,Composite,563.72,821.32,39,7.421086217079821,19.58,57554.12466280987
Bio-Composite Takeaway Clamshell Box,Food Packaging,Bio-Composite,63.36,105.27,1,3.272865622432498,61.83,13685.829216824373
Plant-Based Engineered Application Unit,Electronics,Plant-Based,303.56,657.44,92,2.589222514302349,2.33,59558.946885726764
Bioplastic Engineered Application Unit,Automotive,Bioplastic,733.21,285.45,67,6.461628808948303,34.83,34976.28910671123
Agro-Waste Fiber Engineered Application Unit,Electronics,Agro-Waste Fiber,843.05,43.99,88,4.911595956345271,28.2,2719.284467258953
Natural Fiber Sterile Injection Syringe,Healthcare,Natural Fiber,160.52,751.86,63,1.8409012794213624,73.16,45196.58595956602
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,115.79,253.77,95,1.2785985912830928,93.08,12861.13144346232
Recycled Plastic IV Fluid Connector,Healthcare,Recycled Plastic,772.71,431.85,12,8.546630423540416,23.82,17821.66531765531
Composite Exterior Cladding Panel,Construction,Composite,340.58,536.66,83,6.768650221931937,32.0,37951.80266644895
Recycled Metal Engineered Application Unit,Textiles,Recycled Metal,806.08,392.26,11,9.924447959246592,84.71,31726.375969434943
Recycled Plastic Medical Dose Dispenser,Healthcare,Recycled Plastic,320.06,957.02,94,6.202953486622671,57.34,38705.820114967006
Plant-Based Sterile Injection Syringe,Healthcare,Plant-Based,569.02,451.2,98,3.864515509869608,55.37,41103.07163240221
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,192.24,946.46,15,1.954928998106578,9.12,47594.41674857993
Bioplastic Motor Support Frame,Home Appliances,Bioplastic,445.48,62.27,94,4.58698938122453,73.7,7777.832035918397
Natural Fiber Exterior Cladding Panel,Construction,Natural Fiber,491.78,707.3,75,3.593367570680446,83.7,42784.740678010334
Composite Engineered Application Unit,Electronics,Composite,780.31,839.29,45,8.823128369373569,7.28,59171.63877703017
Biopolymer Internal Support Chassis,Home Appliances,Biopolymer,739.85,707.71,4,5.406547010373576,23.32,106314.89775778019
Biopolymer Engineered Application Unit,Furniture,Biopolymer,523.59,863.82,85,4.677174055412916,94.72,130049.2130415597
Agro-Waste Fiber Load-Bearing Partition Board,Construction,Agro-Waste Fiber,887.41,754.61,69,5.289261054435978,48.17,38351.36329082699
Composite Thermal Insulation Slab,Construction,Composite,340.81,706.56,73,6.705072691328493,11.12,49776.37201849637
Natural Fiber Engineered Application Unit,Toys,Natural Fiber,443.87,16.3,91,3.3724325733249705,74.1,1346.746929993728
Biopolymer Rear Casing Structure,Home Appliances,Biopolymer,690.71,823.68,38,5.170475851589917,58.34,123761.04938869242
Agro-Waste Fiber Dual-Layer Cosmetic Tube,Cosmetics,Agro-Waste Fiber,865.99,378.0,24,5.045820935446928,22.36,19317.898201585194
Plant-Based Engineered Application Unit,Automotive,Plant-Based,866.94,17.09,31,5.266157096694647,32.27,1982.1628225209845
Bioplastic Engineered Application Unit,Electronics,Bioplastic,40.02,925.02,100,2.5396445461556763,69.54,111102.06840961675
Biopolymer Engineered Application Unit,Electronics,Biopolymer,68.82,170.38,48,2.3118428576667984,45.45,25663.217143250098
Recycled Metal Engineered Application Unit,Furniture,Recycled Metal,565.17,586.39,15,8.906660171362907,91.53,47284.392628522175
Recycled Plastic Engineered Application Unit,Toys,Recycled Plastic,862.87,62.57,75,9.191587180242108,33.57,3367.1628851815794
Plant-Based Engineered Application Unit,Electronics,Plant-Based,153.54,648.61,7,1.802615562566368,58.37,58491.856671924776
Natural Fiber Structural Wall Panel,Construction,Natural Fiber,70.88,974.52,63,1.6059100781445528,3.23,58671.27255860841
Agro-Waste Fiber Surgical Instrument Tray,Healthcare,Agro-Waste Fiber,252.51,414.15,76,2.0476608168467663,16.26,20974.588112635076
Composite Engineered Application Unit,Furniture,Composite,819.92,823.42,81,8.71584575694019,58.12,57923.544317705135
Plant-Based Exterior Cladding Panel,Construction,Plant-Based,827.34,87.33,29,5.131397224910157,4.52,8327.392918682617
Recycled Metal Reinforced Roofing Sheet,Construction,Recycled Metal,24.7,379.58,64,6.1355460419882055,98.53,30515.78453149115
Recycled Metal Eco Cutlery Set,Food Packaging,Recycled Metal,339.69,750.83,88,8.191098422497058,84.21,60781.73131687279
Agro-Waste Fiber Appliance Housing Panel,Home Appliances,Agro-Waste Fiber,754.66,471.35,98,4.534827807043775,1.37,24111.97585528283
Agro-Waste Fiber Load-Bearing Partition Board,Construction,Agro-Waste Fiber,68.75,693.26,68,1.2040594684667223,99.66,34878.60710135004
Bio-Composite Engineered Application Unit,Toys,Bio-Composite,500.33,770.14,36,5.494707646058951,37.79,100435.1582345442
Bio-Composite Engineered Application Unit,Toys,Bio-Composite,217.74,209.02,0,3.8549643924760937,60.62,27106.16829435707
Biopolymer Fresh Produce Crate,Food Packaging,Biopolymer,206.55,673.34,31,3.2613145629030043,26.87,101337.69842217724
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,20.94,500.67,53,1.755086606537355,52.02,22759.409954903018
Recycled Plastic Engineered Application Unit,Automotive,Recycled Plastic,767.11,554.15,4,8.49375638940861,79.18,22676.209792056456
Bio-Composite Load-Bearing Partition Board,Construction,Bio-Composite,531.37,482.65,22,5.474972509041052,62.03,62917.77688178079
Agro-Waste Fiber Engineered Application Unit,Electronics,Agro-Waste Fiber,633.97,216.9,37,4.25040886218722,98.05,11446.404146640416
Recycled Metal Toothpaste Laminate Tube,Cosmetics,Recycled Metal,547.67,638.46,78,8.457979787441545,90.42,51296.35734058116
Bio-Composite Specimen Collection Container,Healthcare,Bio-Composite,314.08,516.42,87,4.687771418760054,29.8,67553.66856407003
Recycled Fiber Dual-Layer Cosmetic Tube,Cosmetics,Recycled Fiber,471.72,699.15,28,4.296691125161996,92.66,32082.178343871496
Bioplastic Engineered Application Unit,Textiles,Bioplastic,443.41,261.95,87,4.518942734973863,62.08,31681.124551230398
Recycled Plastic Load-Bearing Partition Board,Construction,Recycled Plastic,313.32,213.09,42,5.953340454079446,7.59,8679.315340559584
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,116.86,132.41,94,1.4042302730175282,69.77,6881.8777047631465
Recycled Metal Engineered Application Unit,Furniture,Recycled Metal,162.88,698.02,24,6.71370486917676,47.4,55895.51865188257
Composite Printed Ointment Tube,Cosmetics,Composite,601.13,176.46,50,7.695517313786773,16.89,12520.165485340081
Plant-Based Engineered Application Unit,Textiles,Plant-Based,251.45,181.13,20,2.2709625949612056,53.44,16477.709446220902
Recycled Plastic Compostable Meal Tray,Food Packaging,Recycled Plastic,321.04,894.75,48,5.892739257254779,69.04,35887.17444294108
Recycled Plastic Engineered Application Unit,Automotive,Recycled Plastic,36.34,800.41,85,4.776418486127037,87.36,32275.608864595273
Bioplastic Motor Support Frame,Home Appliances,Bioplastic,828.86,65.77,25,6.46041515315324,8.45,8218.91636486493
Recycled Metal Acoustic Dampening Board,Home Appliances,Recycled Metal,537.95,986.33,46,8.999736881003509,48.45,79499.86516075264
Plant-Based Engineered Application Unit,Furniture,Plant-Based,556.81,372.07,87,3.627399341532752,6.23,33821.21700614956
Recycled Metal Modular Decking Board,Construction,Recycled Metal,133.82,137.45,2,6.604687696758865,51.17,11018.600772569149
Natural Fiber Compostable Meal Tray,Food Packaging,Natural Fiber,479.37,111.64,37,3.759553443473934,24.25,7134.11258260545
Bio-Composite Engineered Application Unit,Furniture,Bio-Composite,243.05,380.4,73,3.969077136713209,84.07,49534.895352534906
Bioplastic Engineered Application Unit,Automotive,Bioplastic,81.19,537.66,24,2.951441986920825,59.36,64641.91399019062
Bio-Composite Disposable Serving Bowl,Food Packaging,Bio-Composite,611.51,790.23,17,6.318978550856485,53.71,103265.72641314237
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,528.57,746.71,82,3.821353353087755,33.74,33789.112514815824
Bioplastic Engineered Application Unit,Electronics,Bioplastic,809.78,609.52,58,6.5858267717064605,98.65,73690.98507877984
Agro-Waste Fiber Engineered Application Unit,Electronics,Agro-Waste Fiber,545.59,241.04,21,3.579926558849685,36.54,12405.777419137263
Bioplastic Food Storage Container,Food Packaging,Bioplastic,439.54,851.56,61,4.854064574355462,17.34,102646.2434307666
Natural Fiber High-Gloss Skincare Tube,Cosmetics,Natural Fiber,807.19,84.83,30,4.988559857824384,98.24,5367.852393368288
Recycled Metal Toothpaste Laminate Tube,Cosmetics,Recycled Metal,101.72,400.87,91,6.244508677383145,0.53,32104.39150803736
Biopolymer Engineered Application Unit,Automotive,Biopolymer,877.59,493.3,50,6.49233831312338,71.85,74612.08623484253
Composite Engineered Application Unit,Furniture,Composite,482.0,479.24,44,7.469396934646637,18.7,33920.34770098498
Natural Fiber Engineered Application Unit,Toys,Natural Fiber,291.99,428.31,96,2.7100485700691754,52.98,26074.16892755188
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,636.8,768.94,37,4.753289641899395,15.44,35046.66723142455
Natural Fiber Engineered Application Unit,Textiles,Natural Fiber,433.54,534.93,32,3.231695055684302,45.43,32274.56629176322
Composite Engineered Application Unit,Electronics,Composite,494.19,551.18,1,7.517400739432201,80.99,38866.53305457415
Recycled Plastic Engineered Application Unit,Textiles,Recycled Plastic,229.92,683.1,16,5.708214494659736,47.32,27514.9208709948
Natural Fiber Medical Dose Dispenser,Healthcare,Natural Fiber,545.89,795.32,94,3.7865797163947263,83.06,48072.99228729605
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,868.56,128.68,74,7.715954902228951,18.12,17590.546176671713
Recycled Fiber Thermal Insulation Insert,Home Appliances,Recycled Fiber,60.78,742.42,21,1.8986665841823576,78.15,33552.36493813677
Agro-Waste Fiber Takeaway Clamshell Box,Food Packaging,Agro-Waste Fiber,745.32,751.75,59,4.28833930055947,16.43,37899.464475419605
Recycled Metal Exterior Cladding Panel,Construction,Recycled Metal,733.3,666.87,25,9.797810721726766,31.62,53864.733041295076
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,529.89,684.57,71,6.954513665954536,37.69,27643.542749465905
Composite Medical Dose Dispenser,Healthcare,Composite,416.95,304.87,22,7.24216692074849,57.75,21711.437690561368
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,320.47,394.52,65,3.334069115801481,90.65,18217.42433685111
Agro-Waste Fiber Laminated Lotion Tube,Cosmetics,Agro-Waste Fiber,562.19,121.31,5,3.4468135363296586,73.05,6233.492652247243
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,624.65,170.9,28,9.315925225848863,74.15,14184.831419386648
Recycled Plastic Exterior Cladding Panel,Construction,Recycled Plastic,516.26,997.7,56,7.1638561853873,24.85,40340.04713904047
Bioplastic Specimen Collection Container,Healthcare,Bioplastic,669.81,38.36,85,6.013462031998898,49.4,5231.414023999173
Recycled Fiber Dual-Layer Cosmetic Tube,Cosmetics,Recycled Fiber,679.42,107.4,12,5.276458596530789,84.65,5481.228947398092
Recycled Plastic Engineered Application Unit,Automotive,Recycled Plastic,115.61,400.3,28,5.028972376799426,48.64,16088.99678259957
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,368.65,773.02,26,2.892502767128501,69.39,46504.46457534637
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,488.91,255.54,68,8.266647114074894,95.91,20690.227835556176
Recycled Plastic Disposable Serving Bowl,Food Packaging,Recycled Plastic,308.93,231.21,22,5.8814879430069125,94.73,9324.493457255185
Bioplastic Engineered Application Unit,Electronics,Bioplastic,138.86,588.3,61,3.178879658117179,25.6,70775.86474358788
Natural Fiber Engineered Application Unit,Electronics,Natural Fiber,653.76,595.0,99,4.537030394963328,79.01,36276.052796222495
Recycled Fiber Engineered Application Unit,Automotive,Recycled Fiber,21.7,653.11,91,1.663838159866004,6.89,29624.303619899503
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,70.51,108.73,40,5.017986649807205,45.08,4588.532487355404
Recycled Plastic IV Fluid Connector,Healthcare,Recycled Plastic,102.8,984.92,35,5.016600378375582,92.08,39520.15028378168
Bio-Composite Engineered Application Unit,Textiles,Bio-Composite,783.04,521.24,39,7.205906815431463,37.93,68448.7501115736
Bioplastic Engineered Application Unit,Furniture,Bioplastic,670.08,209.55,56,5.797468633352409,33.35,25553.34147501431
Bioplastic Medical Dose Dispenser,Healthcare,Bioplastic,358.95,539.71,74,4.838783833317924,46.57,65500.700374988446
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,433.27,918.86,42,8.291483469553,91.27,73903.28510216475
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,224.16,579.74,51,2.4493684887167437,91.48,26173.80636653756
Plant-Based Engineered Application Unit,Automotive,Plant-Based,326.79,582.69,21,2.419771500387778,21.27,52486.86112529084
Biopolymer Diagnostic Cartridge,Healthcare,Biopolymer,464.14,975.66,48,4.417194483048638,86.06,146749.4408622865
Plant-Based Fresh Produce Crate,Food Packaging,Plant-Based,482.03,188.54,70,3.3654574429348294,6.71,17316.09558220112
Bio-Composite Engineered Application Unit,Furniture,Bio-Composite,675.21,213.86,82,6.518850098818419,46.82,28410.505074113815
Agro-Waste Fiber Structural Wall Panel,Construction,Agro-Waste Fiber,562.85,380.84,15,3.708897524914709,6.57,19424.41064368603
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,698.2,456.02,65,4.676434217468625,48.11,27829.375663101466
Recycled Plastic Thermal Insulation Slab,Construction,Recycled Plastic,447.81,766.53,3,6.56969125638632,86.18,30764.085942289734
Composite Engineered Application Unit,Toys,Composite,851.56,376.44,73,8.954830555062827,52.66,26695.352916297117
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,720.87,979.04,31,6.515047009586596,65.89,127630.65775718994
Plant-Based Engineered Application Unit,Electronics,Plant-Based,25.36,225.86,87,1.2980797588646946,50.55,20642.539819148522
Plant-Based Engineered Application Unit,Textiles,Plant-Based,535.95,342.57,100,3.722568748826041,65.27,31331.389061619528
Recycled Fiber Engineered Application Unit,Electronics,Recycled Fiber,215.13,103.94,95,2.326502244257602,60.32,4788.004183193201
Recycled Fiber High-Gloss Skincare Tube,Cosmetics,Recycled Fiber,726.36,962.84,36,5.1664361851702365,40.64,43788.95713887768
Agro-Waste Fiber Toothpaste Laminate Tube,Cosmetics,Agro-Waste Fiber,292.27,91.49,73,2.338413475945768,20.79,4924.432606959325
Biopolymer Printed Ointment Tube,Cosmetics,Biopolymer,24.85,185.53,35,1.9474785127597731,70.39,27779.346384569828
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,819.65,626.64,10,5.3289950211891055,37.97,38051.28376589183
Biopolymer Appliance Housing Panel,Home Appliances,Biopolymer,531.68,271.72,4,4.6700417436892,77.38,41040.571307766906
Recycled Plastic Surgical Instrument Tray,Healthcare,Recycled Plastic,327.12,861.76,98,5.907005940433876,76.36,34658.51445532541
Biopolymer Engineered Application Unit,Toys,Biopolymer,126.96,869.13,58,2.706357472069657,79.99,130602.64810405223
Recycled Fiber Engineered Application Unit,Automotive,Recycled Fiber,383.27,27.36,13,3.528506905273647,69.88,1532.9526789552351
Bioplastic Printed Ointment Tube,Cosmetics,Bioplastic,362.89,221.93,21,4.531060248635056,98.44,27017.502686476295
Biopolymer Eco Cutlery Set,Food Packaging,Biopolymer,473.6,175.82,86,4.578760410406981,82.26,26939.870307805235
Biopolymer Engineered Application Unit,Automotive,Biopolymer,477.17,815.98,40,4.1103161264085815,55.42,122508.93459480644
Plant-Based Laminated Lotion Tube,Cosmetics,Plant-Based,586.63,830.59,86,3.7455849920169753,14.0,75077.74124401274
Bio-Composite IV Fluid Connector,Healthcare,Bio-Composite,238.05,270.17,90,4.293257053441732,60.05,35498.3802900813
Agro-Waste Fiber Disposable Serving Bowl,Food Packaging,Agro-Waste Fiber,598.87,179.49,44,3.8971071901824414,40.44,9439.00289263683
Natural Fiber Fresh Produce Crate,Food Packaging,Natural Fiber,694.05,424.93,1,4.77325953726121,73.8,25922.082152945906
Composite Modular Decking Board,Construction,Composite,75.44,605.14,25,6.1477462981309445,83.71,43025.42972359821
Recycled Fiber Sterile Injection Syringe,Healthcare,Recycled Fiber,394.04,915.94,58,3.5843781021386336,56.64,41615.95357660398
Agro-Waste Fiber Laminated Lotion Tube,Cosmetics,Agro-Waste Fiber,428.97,665.35,21,3.17196312803612,21.49,33694.31984602709
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,29.03,265.95,98,3.3359503526986405,84.64,34927.11526452398
Composite Diagnostic Cartridge,Healthcare,Composite,859.76,158.9,72,9.42907825026116,10.66,11794.588687695868
Recycled Plastic Engineered Application Unit,Textiles,Recycled Plastic,68.55,729.55,88,4.7796961510719305,59.83,29344.98461330395
Recycled Fiber Engineered Application Unit,Furniture,Recycled Fiber,414.25,80.55,100,3.7230438440986537,96.77,4145.72038307399
Biopolymer Appliance Housing Panel,Home Appliances,Biopolymer,5.72,107.58,100,1.8740349570924857,91.73,16223.936217819364
Agro-Waste Fiber Surgical Instrument Tray,Healthcare,Agro-Waste Fiber,124.0,950.49,54,1.372636278651998,8.67,47658.977208988996
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,862.4,759.6,94,5.014927290434179,65.88,38526.395467825634
Natural Fiber Disposable Serving Bowl,Food Packaging,Natural Fiber,623.36,849.95,24,4.333174827877264,64.67,51368.96112090795
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,624.16,56.34,25,4.783731713334702,70.56,4089.6787850010264
Recycled Plastic Eco Cutlery Set,Food Packaging,Recycled Plastic,832.8,184.67,84,8.29054696148165,31.29,7691.110221111237
Recycled Metal Engineered Application Unit,Textiles,Recycled Metal,109.35,732.37,47,6.684002038074903,42.18,58841.214028556176
Bioplastic Laminated Lotion Tube,Cosmetics,Bioplastic,716.01,746.34,38,5.75750682576207,52.24,89752.89761932156
