Product,category_name,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,Material_Cost_INR
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,225.97,551.48,47,1,93.46,27574
Bio-Composite Specimen Collection Container,Healthcare,Bio-Composite,574.81,519.11,63,2.82,61.17,25955.5
Recycled Metal Internal Support Chassis,Home Appliances,Recycled Metal,378.22,251.49,15,0.88,12.02,12574.5
Plant-Based Compostable Meal Tray,Food Packaging,Plant-Based,308.35,96.34,46,0.3,85.55,4817
Composite Engineered Application Unit,Furniture,Composite,633.59,476.8,89,3.84,80.69,23840
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,312.33,467.35,100,2.05,61.59,23367.5
Agro-Waste Fiber Diagnostic Cartridge,Healthcare,Agro-Waste Fiber,571.95,50.08,94,0.17,93.34,2504
Recycled Fiber Printed Ointment Tube,Cosmetics,Recycled Fiber,451.43,541.68,3,3.12,94.39,27084
Biopolymer Dual-Layer Cosmetic Tube,Cosmetics,Biopolymer,849.88,867.86,31,4.71,57.55,43393
Composite Engineered Application Unit,Toys,Composite,349.96,645.07,32,4.07,82.06,32253.5
Composite Food Storage Container,Food Packaging,Composite,563.72,821.32,39,4.54,19.58,41066
Bio-Composite Takeaway Clamshell Box,Food Packaging,Bio-Composite,63.36,105.27,1,0.29,61.83,5263.5
Plant-Based Engineered Application Unit,Electronics,Plant-Based,303.56,657.44,92,4.24,2.33,32872
Bioplastic Engineered Application Unit,Automotive,Bioplastic,733.21,285.45,67,3.5,34.83,14272.5
Agro-Waste Fiber Engineered Application Unit,Electronics,Agro-Waste Fiber,843.05,43.99,88,4.04,28.2,2199.5
Natural Fiber Sterile Injection Syringe,Healthcare,Natural Fiber,160.52,751.86,63,2.92,73.16,37593
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,115.79,253.77,95,1.77,93.08,12688.5
Recycled Plastic IV Fluid Connector,Healthcare,Recycled Plastic,772.71,431.85,12,3.73,23.82,21592.5
Composite Exterior Cladding Panel,Construction,Composite,340.58,536.66,83,4.15,32,26833
Recycled Metal Engineered Application Unit,Textiles,Recycled Metal,806.08,392.26,11,4.8,84.71,19613
Recycled Plastic Medical Dose Dispenser,Healthcare,Recycled Plastic,320.06,957.02,94,4.76,57.34,47851
Plant-Based Sterile Injection Syringe,Healthcare,Plant-Based,569.02,451.2,98,3.05,55.37,22560
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,192.24,946.46,15,3.97,9.12,47323
Bioplastic Motor Support Frame,Home Appliances,Bioplastic,445.48,62.27,94,0.37,73.7,3113.5
Natural Fiber Exterior Cladding Panel,Construction,Natural Fiber,491.78,707.3,75,3.47,83.7,35365
Composite Engineered Application Unit,Electronics,Composite,780.31,839.29,45,3.53,7.28,41964.5
Biopolymer Internal Support Chassis,Home Appliances,Biopolymer,739.85,707.71,4,2.62,23.32,35385.5
Biopolymer Engineered Application Unit,Furniture,Biopolymer,523.59,863.82,85,4.08,94.72,43191
Agro-Waste Fiber Load-Bearing Partition Board,Construction,Agro-Waste Fiber,887.41,754.61,69,3.57,48.17,37730.5
Composite Thermal Insulation Slab,Construction,Composite,340.81,706.56,73,4.54,11.12,35328
Natural Fiber Engineered Application Unit,Toys,Natural Fiber,443.87,16.3,91,2.9,74.1,815
Biopolymer Rear Casing Structure,Home Appliances,Biopolymer,690.71,823.68,38,3.76,58.34,41184
Agro-Waste Fiber Dual-Layer Cosmetic Tube,Cosmetics,Agro-Waste Fiber,865.99,378,24,4.36,22.36,18900
Plant-Based Engineered Application Unit,Automotive,Plant-Based,866.94,17.09,31,2.82,32.27,854.5
Bioplastic Engineered Application Unit,Electronics,Bioplastic,40.02,925.02,100,1.34,69.54,46251
Biopolymer Engineered Application Unit,Electronics,Biopolymer,68.82,170.38,48,3.51,45.45,8519
Recycled Metal Engineered Application Unit,Furniture,Recycled Metal,565.17,586.39,15,3.71,91.53,29319.5
Recycled Plastic Engineered Application Unit,Toys,Recycled Plastic,862.87,62.57,75,0.62,33.57,3128.5
Plant-Based Engineered Application Unit,Electronics,Plant-Based,153.54,648.61,7,1.83,58.37,32430.5
Natural Fiber Structural Wall Panel,Construction,Natural Fiber,70.88,974.52,63,2.32,3.23,48726
Agro-Waste Fiber Surgical Instrument Tray,Healthcare,Agro-Waste Fiber,252.51,414.15,76,3.46,16.26,20707.5
Composite Engineered Application Unit,Furniture,Composite,819.92,823.42,81,2.14,58.12,41171
Plant-Based Exterior Cladding Panel,Construction,Plant-Based,827.34,87.33,29,4.34,4.52,4366.5
Recycled Metal Reinforced Roofing Sheet,Construction,Recycled Metal,24.7,379.58,64,2.45,98.53,18979
Recycled Metal Eco Cutlery Set,Food Packaging,Recycled Metal,339.69,750.83,88,4.85,84.21,37541.5
Agro-Waste Fiber Appliance Housing Panel,Home Appliances,Agro-Waste Fiber,754.66,471.35,98,0.76,1.37,23567.5
Agro-Waste Fiber Load-Bearing Partition Board,Construction,Agro-Waste Fiber,68.75,693.26,68,5,99.66,34663
Bio-Composite Engineered Application Unit,Toys,Bio-Composite,500.33,770.14,36,3.81,37.79,38507
Bio-Composite Engineered Application Unit,Toys,Bio-Composite,217.74,209.02,0,4.77,60.62,10451
Biopolymer Fresh Produce Crate,Food Packaging,Biopolymer,206.55,673.34,31,0.33,26.87,33667
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,20.94,500.67,53,3.88,52.02,25033.5
Recycled Plastic Engineered Application Unit,Automotive,Recycled Plastic,767.11,554.15,4,0.53,79.18,27707.5
Bio-Composite Load-Bearing Partition Board,Construction,Bio-Composite,531.37,482.65,22,3.8,62.03,24132.5
Agro-Waste Fiber Engineered Application Unit,Electronics,Agro-Waste Fiber,633.97,216.9,37,3.12,98.05,10845
Recycled Metal Toothpaste Laminate Tube,Cosmetics,Recycled Metal,547.67,638.46,78,2.24,90.42,31923
Bio-Composite Specimen Collection Container,Healthcare,Bio-Composite,314.08,516.42,87,4.56,29.8,25821
Recycled Fiber Dual-Layer Cosmetic Tube,Cosmetics,Recycled Fiber,471.72,699.15,28,0.82,92.66,34957.5
Bioplastic Engineered Application Unit,Textiles,Bioplastic,443.41,261.95,87,0.32,62.08,13097.5
Recycled Plastic Load-Bearing Partition Board,Construction,Recycled Plastic,313.32,213.09,42,1.28,7.59,10654.5
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,116.86,132.41,94,2.06,69.77,6620.5
Recycled Metal Engineered Application Unit,Furniture,Recycled Metal,162.88,698.02,24,4.49,47.4,34901
Composite Printed Ointment Tube,Cosmetics,Composite,601.13,176.46,50,0.3,16.89,8823
Plant-Based Engineered Application Unit,Textiles,Plant-Based,251.45,181.13,20,2.79,53.44,9056.5
Recycled Plastic Compostable Meal Tray,Food Packaging,Recycled Plastic,321.04,894.75,48,2.57,69.04,44737.5
Recycled Plastic Engineered Application Unit,Automotive,Recycled Plastic,36.34,800.41,85,0.5,87.36,40020.5
Bioplastic Motor Support Frame,Home Appliances,Bioplastic,828.86,65.77,25,4.35,8.45,3288.5
Recycled Metal Acoustic Dampening Board,Home Appliances,Recycled Metal,537.95,986.33,46,1.92,48.45,49316.5
Plant-Based Engineered Application Unit,Furniture,Plant-Based,556.81,372.07,87,3.63,6.23,18603.5
Recycled Metal Modular Decking Board,Construction,Recycled Metal,133.82,137.45,2,4.49,51.17,6872.5
Natural Fiber Compostable Meal Tray,Food Packaging,Natural Fiber,479.37,111.64,37,2.71,24.25,5582
Bio-Composite Engineered Application Unit,Furniture,Bio-Composite,243.05,380.4,73,2.86,84.07,19020
Bioplastic Engineered Application Unit,Automotive,Bioplastic,81.19,537.66,24,4.46,59.36,26883
Bio-Composite Disposable Serving Bowl,Food Packaging,Bio-Composite,611.51,790.23,17,0.53,53.71,39511.5
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,528.57,746.71,82,1.96,33.74,37335.5
Bioplastic Engineered Application Unit,Electronics,Bioplastic,809.78,609.52,58,1.84,98.65,30476
Agro-Waste Fiber Engineered Application Unit,Electronics,Agro-Waste Fiber,545.59,241.04,21,1.2,36.54,12052
Bioplastic Food Storage Container,Food Packaging,Bioplastic,439.54,851.56,61,1.5,17.34,42578
Natural Fiber High-Gloss Skincare Tube,Cosmetics,Natural Fiber,807.19,84.83,30,2.11,98.24,4241.5
Recycled Metal Toothpaste Laminate Tube,Cosmetics,Recycled Metal,101.72,400.87,91,4.6,0.53,20043.5
Biopolymer Engineered Application Unit,Automotive,Biopolymer,877.59,493.3,50,4.12,71.85,24665
Composite Engineered Application Unit,Furniture,Composite,482,479.24,44,3.87,18.7,23962
Natural Fiber Engineered Application Unit,Toys,Natural Fiber,291.99,428.31,96,3.71,52.98,21415.5
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,636.8,768.94,37,2.95,15.44,38447
Natural Fiber Engineered Application Unit,Textiles,Natural Fiber,433.54,534.93,32,1.91,45.43,26746.5
Composite Engineered Application Unit,Electronics,Composite,494.19,551.18,1,1.68,80.99,27559
Recycled Plastic Engineered Application Unit,Textiles,Recycled Plastic,229.92,683.1,16,0.67,47.32,34155
Natural Fiber Medical Dose Dispenser,Healthcare,Natural Fiber,545.89,795.32,94,4.65,83.06,39766
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,868.56,128.68,74,4.7,18.12,6434
Recycled Fiber Thermal Insulation Insert,Home Appliances,Recycled Fiber,60.78,742.42,21,0.34,78.15,37121
Agro-Waste Fiber Takeaway Clamshell Box,Food Packaging,Agro-Waste Fiber,745.32,751.75,59,0.9,16.43,37587.5
Recycled Metal Exterior Cladding Panel,Construction,Recycled Metal,733.3,666.87,25,4.55,31.62,33343.5
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,529.89,684.57,71,2.25,37.69,34228.5
Composite Medical Dose Dispenser,Healthcare,Composite,416.95,304.87,22,2.25,57.75,15243.5
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,320.47,394.52,65,2.76,90.65,19726
Agro-Waste Fiber Laminated Lotion Tube,Cosmetics,Agro-Waste Fiber,562.19,121.31,5,1.73,73.05,6065.5
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,624.65,170.9,28,2.53,74.15,8545
Recycled Plastic Exterior Cladding Panel,Construction,Recycled Plastic,516.26,997.7,56,1.63,24.85,49885
Bioplastic Specimen Collection Container,Healthcare,Bioplastic,669.81,38.36,85,3.6,49.4,1918
Recycled Fiber Dual-Layer Cosmetic Tube,Cosmetics,Recycled Fiber,679.42,107.4,12,0.64,84.65,5370
Recycled Plastic Engineered Application Unit,Automotive,Recycled Plastic,115.61,400.3,28,2.75,48.64,20015
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,368.65,773.02,26,3.24,69.39,38651
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,488.91,255.54,68,4.15,95.91,12777
Recycled Plastic Disposable Serving Bowl,Food Packaging,Recycled Plastic,308.93,231.21,22,2.36,94.73,11560.5
Bioplastic Engineered Application Unit,Electronics,Bioplastic,138.86,588.3,61,0.59,25.6,29415
Natural Fiber Engineered Application Unit,Electronics,Natural Fiber,653.76,595,99,4.6,79.01,29750
Recycled Fiber Engineered Application Unit,Automotive,Recycled Fiber,21.7,653.11,91,1.93,6.89,32655.5
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,70.51,108.73,40,4.64,45.08,5436.5
Recycled Plastic IV Fluid Connector,Healthcare,Recycled Plastic,102.8,984.92,35,0.71,92.08,49246
Bio-Composite Engineered Application Unit,Textiles,Bio-Composite,783.04,521.24,39,3.08,37.93,26062
Bioplastic Engineered Application Unit,Furniture,Bioplastic,670.08,209.55,56,0.12,33.35,10477.5
Bioplastic Medical Dose Dispenser,Healthcare,Bioplastic,358.95,539.71,74,4.62,46.57,26985.5
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,433.27,918.86,42,0.26,91.27,45943
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,224.16,579.74,51,2.15,91.48,28987
Plant-Based Engineered Application Unit,Automotive,Plant-Based,326.79,582.69,21,1.18,21.27,29134.5
Biopolymer Diagnostic Cartridge,Healthcare,Biopolymer,464.14,975.66,48,2.83,86.06,48783
Plant-Based Fresh Produce Crate,Food Packaging,Plant-Based,482.03,188.54,70,3.02,6.71,9427
Bio-Composite Engineered Application Unit,Furniture,Bio-Composite,675.21,213.86,82,1.81,46.82,10693
Agro-Waste Fiber Structural Wall Panel,Construction,Agro-Waste Fiber,562.85,380.84,15,2.87,6.57,19042
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,698.2,456.02,65,2.72,48.11,22801
Recycled Plastic Thermal Insulation Slab,Construction,Recycled Plastic,447.81,766.53,3,0.99,86.18,38326.5
Composite Engineered Application Unit,Toys,Composite,851.56,376.44,73,4.5,52.66,18822
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,720.87,979.04,31,3.61,65.89,48952
Plant-Based Engineered Application Unit,Electronics,Plant-Based,25.36,225.86,87,1.06,50.55,11293
Plant-Based Engineered Application Unit,Textiles,Plant-Based,535.95,342.57,100,0.97,65.27,17128.5
Recycled Fiber Engineered Application Unit,Electronics,Recycled Fiber,215.13,103.94,95,4.94,60.32,5197
Recycled Fiber High-Gloss Skincare Tube,Cosmetics,Recycled Fiber,726.36,962.84,36,0.79,40.64,48142
Agro-Waste Fiber Toothpaste Laminate Tube,Cosmetics,Agro-Waste Fiber,292.27,91.49,73,0.52,20.79,4574.5
Biopolymer Printed Ointment Tube,Cosmetics,Biopolymer,24.85,185.53,35,3.25,70.39,9276.5
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,819.65,626.64,10,1.37,37.97,31332
Biopolymer Appliance Housing Panel,Home Appliances,Biopolymer,531.68,271.72,4,1.79,77.38,13586
Recycled Plastic Surgical Instrument Tray,Healthcare,Recycled Plastic,327.12,861.76,98,4.75,76.36,43088
Biopolymer Engineered Application Unit,Toys,Biopolymer,126.96,869.13,58,4.48,79.99,43456.5
Recycled Fiber Engineered Application Unit,Automotive,Recycled Fiber,383.27,27.36,13,3.73,69.88,1368
Bioplastic Printed Ointment Tube,Cosmetics,Bioplastic,362.89,221.93,21,4.19,98.44,11096.5
Biopolymer Eco Cutlery Set,Food Packaging,Biopolymer,473.6,175.82,86,3.45,82.26,8791
Biopolymer Engineered Application Unit,Automotive,Biopolymer,477.17,815.98,40,1.44,55.42,40799
Plant-Based Laminated Lotion Tube,Cosmetics,Plant-Based,586.63,830.59,86,0.62,14,41529.5
Bio-Composite IV Fluid Connector,Healthcare,Bio-Composite,238.05,270.17,90,3.03,60.05,13508.5
Agro-Waste Fiber Disposable Serving Bowl,Food Packaging,Agro-Waste Fiber,598.87,179.49,44,4.21,40.44,8974.5
Natural Fiber Fresh Produce Crate,Food Packaging,Natural Fiber,694.05,424.93,1,0.91,73.8,21246.5
Composite Modular Decking Board,Construction,Composite,75.44,605.14,25,0.43,83.71,30257
Recycled Fiber Sterile Injection Syringe,Healthcare,Recycled Fiber,394.04,915.94,58,1.56,56.64,45797
Agro-Waste Fiber Laminated Lotion Tube,Cosmetics,Agro-Waste Fiber,428.97,665.35,21,3.69,21.49,33267.5
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,29.03,265.95,98,4.22,84.64,13297.5
Composite Diagnostic Cartridge,Healthcare,Composite,859.76,158.9,72,3.88,10.66,7945
Recycled Plastic Engineered Application Unit,Textiles,Recycled Plastic,68.55,729.55,88,3.55,59.83,36477.5
Recycled Fiber Engineered Application Unit,Furniture,Recycled Fiber,414.25,80.55,100,0.11,96.77,4027.5
Biopolymer Appliance Housing Panel,Home Appliances,Biopolymer,5.72,107.58,100,0.55,91.73,5379
Agro-Waste Fiber Surgical Instrument Tray,Healthcare,Agro-Waste Fiber,124,950.49,54,2.65,8.67,47524.5
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,862.4,759.6,94,4.05,65.88,37980
Natural Fiber Disposable Serving Bowl,Food Packaging,Natural Fiber,623.36,849.95,24,4.53,64.67,42497.5
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,624.16,56.34,25,0.29,70.56,2817
Recycled Plastic Eco Cutlery Set,Food Packaging,Recycled Plastic,832.8,184.67,84,2.42,31.29,9233.5
Recycled Metal Engineered Application Unit,Textiles,Recycled Metal,109.35,732.37,47,0.66,42.18,36618.5
Bioplastic Laminated Lotion Tube,Cosmetics,Bioplastic,716.01,746.34,38,2.33,52.24,37317
Recycled Fiber Engineered Application Unit,Electronics,Recycled Fiber,580.45,651.92,23,1.23,12.06,32596
Recycled Fiber Acoustic Dampening Board,Home Appliances,Recycled Fiber,70.18,697.81,39,2.26,40.45,34890.5
Biopolymer Engineered Application Unit,Automotive,Biopolymer,515.61,804.96,3,3.97,31.88,40248
Recycled Fiber Engineered Application Unit,Furniture,Recycled Fiber,563.68,886.55,41,4.4,41.75,44327.5
Bio-Composite Engineered Application Unit,Toys,Bio-Composite,416.29,990.39,12,2.69,93.91,49519.5
Composite Surgical Instrument Tray,Healthcare,Composite,719.11,997.94,28,3.86,40.19,49897
Recycled Plastic Takeaway Clamshell Box,Food Packaging,Recycled Plastic,432.41,629.37,55,1.43,39.83,31468.5
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,83.44,339.69,83,3.71,23.88,16984.5
Recycled Metal Rear Casing Structure,Home Appliances,Recycled Metal,100.32,357.85,29,4.28,71.56,17892.5
Biopolymer Engineered Application Unit,Electronics,Biopolymer,530.61,280.88,52,4.94,42.78,14044
Recycled Plastic Structural Wall Panel,Construction,Recycled Plastic,346.51,681.25,11,4.79,79.8,34062.5
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,233.83,590.61,38,4.41,94.47,29530.5
Natural Fiber High-Gloss Skincare Tube,Cosmetics,Natural Fiber,421.19,615.34,24,3.74,6.5,30767
Plant-Based Engineered Application Unit,Automotive,Plant-Based,362.02,838.64,53,3.08,51.27,41932
Recycled Fiber Engineered Application Unit,Furniture,Recycled Fiber,208.37,180.65,89,0.28,95.73,9032.5
Recycled Plastic Internal Support Chassis,Home Appliances,Recycled Plastic,743.76,801.77,53,4.85,88.38,40088.5
Agro-Waste Fiber Compostable Meal Tray,Food Packaging,Agro-Waste Fiber,835.05,994.93,60,1.38,51.52,49746.5
Biopolymer Engineered Application Unit,Electronics,Biopolymer,442.58,996.35,2,4.1,22.44,49817.5
Natural Fiber Motor Support Frame,Home Appliances,Natural Fiber,202.21,539.29,72,4.49,86.01,26964.5
Bioplastic Engineered Application Unit,Automotive,Bioplastic,412.23,394.21,91,2.44,4.44,19710.5
Composite Engineered Application Unit,Furniture,Composite,767.12,40.25,78,3.31,55.09,2012.5
Recycled Fiber Engineered Application Unit,Textiles,Recycled Fiber,79.2,411.41,78,0.12,69.57,20570.5
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,44.86,534.94,36,1.18,68.33,26747
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,69.44,851.95,39,4.43,51.61,42597.5
Natural Fiber Motor Support Frame,Home Appliances,Natural Fiber,815.96,573.46,39,3.42,56.57,28673
Recycled Plastic Acoustic Dampening Board,Home Appliances,Recycled Plastic,241.06,879.24,18,4.35,24.53,43962
Recycled Fiber Engineered Application Unit,Electronics,Recycled Fiber,142.45,164.6,12,4.2,69.75,8230
Agro-Waste Fiber Engineered Application Unit,Toys,Agro-Waste Fiber,612.45,620.52,37,1.03,88.16,31026
Bioplastic Engineered Application Unit,Automotive,Bioplastic,865.22,468.14,30,4.15,12.89,23407
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,302.27,744.79,30,0.11,55.62,37239.5
Plant-Based Takeaway Clamshell Box,Food Packaging,Plant-Based,681.22,262.39,65,1.51,61.69,13119.5
Biopolymer Engineered Application Unit,Furniture,Biopolymer,883.09,633.65,94,1.95,0.91,31682.5
Agro-Waste Fiber Engineered Application Unit,Automotive,Agro-Waste Fiber,736.99,132.81,82,3.83,54.13,6640.5
Biopolymer Engineered Application Unit,Electronics,Biopolymer,866.73,345.16,59,0.98,75.37,17258
Agro-Waste Fiber Engineered Application Unit,Toys,Agro-Waste Fiber,710.14,177.88,99,0.43,30.1,8894
Bio-Composite Engineered Application Unit,Toys,Bio-Composite,637.65,72.01,9,2.42,5.79,3600.5
